title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
Bad Bunny Carpool Karaoke,https://www.youtube.com/watch?v=jHIWuE3G9Aw,https://i.ytimg.com/vi/jHIWuE3G9Aw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBof-XWV2xuiTWYjvM-od0gyx-FUg,The Late Late Show with James Corden,1.8M,1 day ago,16/03/2023,James calls on Bad Bunny to help him beat the Los Angeles traffic. The most streamed artist in the world tells James how Benito became Bad Bunny and the two sing some of his most popular songs....
GloRilla – Ex’s (PHATNALL Remix) (with Lil Durk) (Official Music Video),https://www.youtube.com/watch?v=EEwJQ5M8f5Q,,theofficialGloRilla,376K,14 hours ago,16/03/2023,"Stream GloRilla's 'Anyways, Life's Great... Bonus Edition' out everywhere: https://glorilla.lnk.to/ALGBonus Follow #GloRilla: Instagram: https://www.instagram.com/glorillapimp/ TikTok: https://www..."
Food Theory: Logan Paul is LYING About Prime!,https://www.youtube.com/watch?v=x_gFuMJYCV0,,The Food Theorists,1.5M,1 day ago,16/03/2023,"*SUBSCRIBE to Style Theory!* Be one of the first to subscribe to our NEW channel! ► https://bit.ly/styletheorysub Logan Paul and KSI’s new business endeavor, Prime, is taking the world..."
"I duped 2,100,000,000 items in Survival Minecraft... here's how",https://www.youtube.com/watch?v=ji4uxn-jxfw,,Spoke,277K,14 hours ago,16/03/2023,I found another dupe on lifesteal lol except this time the players actually tried to patch it but we had a secret weapon... spoke being silly: https://twitter.com/spokeishere spoke talking:...
Minty News,https://www.youtube.com/watch?v=3i5-sGiWr-M,,Ryan Reynolds,219K,17 hours ago,16/03/2023,I only want the best for @MintMobile customers. Think I’ve found it. https://www.mintmobile.com/unicorn
True Facts Animal Awards: Best Worst Jumping and More,https://www.youtube.com/watch?v=IJzWVtHqspM,,Ze Frank,425K,14 hours ago,16/03/2023,Head over to Hunt A Killer at https://shop.huntakiller.com/discount/zefrank and use zefrank for 10% off your order of Immersive Murder Mystery Games today! Thanks to Hunt A Killer for sponsoring...
Miley Cyrus - Flowers (Backyard Sessions),https://www.youtube.com/watch?v=QNv8iODCAwE,,Miley Cyrus,1.1M,14 hours ago,16/03/2023,Official Backyard Sessions Performance of “Flowers” by Miley Cyrus Listen to & Download “Endless Summer Vacation” out now: https://mileycyrus.lnk.to/EndlessSummerVacation Purchase...
JISOO - VISUAL FILM #1,https://www.youtube.com/watch?v=XYjVwg63Z7U,,BLACKPINK,3.2M,15 hours ago,16/03/2023,#JISOO #지수 #BLACKPINK #블랙핑크 #FIRSTSINGLEALBUM #ME #VISUALFILM #20230331_12amEDT #20230331_1pmKST #RELEASE #YG
"""I'm Just Too Slick For Him"" - Conor McGregor Talks Coaching TUF Against Michael Chandler",https://www.youtube.com/watch?v=NNDg68T9Q5g,,My Mom's Basement with Robbie Fox,563K,1 day ago,16/03/2023,"Robbie finally gets a real interview with his white whale, Conor McGregor! McGregor sat down with Robbie following the semi-finals of The Ultimate Fighter and discussed how filming the show..."
Avenged Sevenfold - Nobody (Official Video),https://www.youtube.com/watch?v=UjrRTY2UDjw,,Avenged Sevenfold,965K,1 day ago,16/03/2023,"We’re thrilled to announce our new album, Life Is But A Dream… available June 2, 2023. Watch our official stop-motion video for “Nobody” - directed by Chris Hopewell. Stop motion is..."
