title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
what happened.,https://www.youtube.com/watch?v=t6fIp7mMJ90,https://i.ytimg.com/vi/t6fIp7mMJ90/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUUNbL3XycE5xHpdRWO0xaVJHGZA,The Try Guys,2.8M,6 hours ago,04/10/2022,
"hi, I'm Dream.",https://www.youtube.com/watch?v=CtpdMkKvB6U,https://i.ytimg.com/vi/CtpdMkKvB6U/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLANZis1PSOANIBmvxcqActw_ja7Mw,Dream,27M,1 day ago,04/10/2022,"hi, I'm Dream, and this is what I look like. After years of being completely faceless online, I finally decided to do a face reveal. Follow my socials: ➽ Twitter - @dream ➽ Instagram..."
Marvel Studios’ Black Panther: Wakanda Forever | Official Trailer,https://www.youtube.com/watch?v=_Z3QKkl1WyM,https://i.ytimg.com/vi/_Z3QKkl1WyM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJmKw2My2M0irUXNoZH-zLYLiFvA,Marvel Entertainment,9.7M,17 hours ago,04/10/2022,"“Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: Wakanda Forever, only in theaters November 11. Get tickets now: fandango.com/wakandaforever ►..."
Montana has a tumor in her head,https://www.youtube.com/watch?v=xQ4ZZ0MvsMk,,Montana & Ryan,508K,12 hours ago,04/10/2022,"I obviously wanted the best news but a small part of me knew it wasn't going to be that easy. For a long time I felt like I was running from this because I was scared of it. After this news,..."
Museums: Last Week Tonight with John Oliver (HBO),https://www.youtube.com/watch?v=eJPLiT1kCSM,,LastWeekTonight,2.1M,1 day ago,04/10/2022,"John Oliver discusses some of the world’s most prestigious museums, why they contain so many stolen goods, the market that continues to illegally trade antiquities, and a pretty solid blueprint..."
OUR OFFICIAL GENDER REVEAL!!! Baby Number 2,https://www.youtube.com/watch?v=UIHmVrNaKyg,,The Herberts,1.8M,14 hours ago,04/10/2022,THE OFFICIAL HERBERT GENDER REVEAL FOR BABY NUMBER 2! Make sure to watch until the very end for a special surprise!!!
完全新作PV “ROAD OF NARUTO” | アニメ『NARUTO-ナルト-』20周年記念 | studioぴえろ【公式】,https://www.youtube.com/watch?v=yKELA1qBAKA,,studioぴえろ【公式】,3.5M,20 hours ago,04/10/2022,▼studioぴえろ【公式】チャンネル登録はこちら http://www.youtube.com/channel/UC0U2GG9WNndvt1wK41l9iqg?sub_confirmation=1 #NARUTO #ナルト #忍者 #studioぴえろ #スタジオ...
Trunks VS Silver (Dragon Ball Heroes VS Archie Sonic) | DEATH BATTLE!,https://www.youtube.com/watch?v=PrRAJ_AvomE,,DEATH BATTLE!,664K,13 hours ago,04/10/2022,Xeno Trunks battles Silver from Archie Comics! Go to http://boxofawesome.com and use code deathbattle for 20% off your first monthly box. Get extra perks as a Death Battle Member! https://www.yout...
SNL stole my video,https://www.youtube.com/watch?v=aNWbI8T42II,,Joel Haver,968K,13 hours ago,04/10/2022,Check out the creators mentioned in the video below! @Alex Martens another steven segal movie - https://youtu.be/j4jZL88MbCg Masked Boy Helps a Crucified Kid - FREAKS! - https://youtu.be/aVycyc4F...
"2023 Corvette Z06 Review // The $100,000 Supercar",https://www.youtube.com/watch?v=Dn6gmBQUTdg,,Throttle House,448K,15 hours ago,04/10/2022,"The 2023 Corvette C8 Z06 ($106,000 in the US, $128,000 starting in Canada) aspires to achieve a formidable goal: to slay supercar titans and crush its competition for a fraction of the cost...."
