title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
Omah Lay - soso (Official Music Video),https://www.youtube.com/watch?v=k6eE3c70hgg,https://i.ytimg.com/vi/k6eE3c70hgg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJzdtV4nGaXGigpK-3o_iALSEwvw,Omah Lay,22M,3 months ago,15/03/2023,"The official music video for Omah Lay's ""soso"" Listen to Boy Alone OUT NOW: https://omahlay.lnk.to/BoyAlone FOLLOW OMAH LAY: https://www.instagram.com/omah_lay/ https://twitter.com/Omah_Lay..."
Avenged Sevenfold - Nobody (Official Video),https://www.youtube.com/watch?v=UjrRTY2UDjw,https://i.ytimg.com/vi/UjrRTY2UDjw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBywQdFd2XHra9SXZ_ujtJCqp82Mw,Avenged Sevenfold,523K,15 hours ago,15/03/2023,"We’re thrilled to announce our new album, Life Is But A Dream… available June 2, 2023. Watch our official stop-motion video for “Nobody” - directed by Chris Hopewell. Stop motion is..."
지민 (Jimin) 'Set Me Free Pt.2' Official Teaser,https://www.youtube.com/watch?v=lwwrbsB342A,https://i.ytimg.com/vi/lwwrbsB342A/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDYu-G4vRrLBsV8k4KSiZccOXcYEw,HYBE LABELS,3.4M,15 hours ago,15/03/2023,지민 (Jimin) 'Set Me Free Pt.2' Official Teaser 'Set Me Free Pt.2' Release 📆 3/17 1PM KST | 0AM ET 💽 Pre-order & pre-save 'FACE': https://ingrv.es/face Credits: Production: OUI...
World's Strongest Magnet!,https://www.youtube.com/watch?v=g0amdIcZt5I,,Veritasium,1.3M,13 hours ago,15/03/2023,The world's strongest magnet is a million times stronger than Earth's magnetic field. Learn more about sustainability and Google’s efforts at sustainability.google. Part of this video was...
The REAL Boogeyman?! A Horrible Man or Monster - Albert Fish | Mystery & Makeup | Bailey Sarian,https://www.youtube.com/watch?v=qg4FJzdsmuw,,Bailey Sarian,883K,1 day ago,15/03/2023,"Thanks to HelloFresh for sponsoring this video! For 60% off with HelloFresh PLUS free shipping, use code BAILEYSARIAN60 at https://bit.ly/3lHJJmX ______________ Hi friends, happy Monday!..."
So!YoON! (황소윤) 'Smoke Sprite' (feat. RM of BTS) Official MV,https://www.youtube.com/watch?v=7xTQJbkwSfs,,새소년 SE SO NEON,2.4M,21 hours ago,15/03/2023,So!YoON! Episode1 : Love 01. IN (Void)  02. Smoke Sprite (feat. RM of BTS) 03. Till the sun goes up  04. Bad  05. why don’t you take me out? (skit)  06. Gave you all my love (feat. jibin...
The Little Mermaid | Official Trailer,https://www.youtube.com/watch?v=kpGo2_d3oYE,,Walt Disney Studios,6.9M,2 days ago,15/03/2023,"Watch and you'll see, some day I'll be, part of your world! Watch the new trailer for #TheLittleMermaid and see the movie in theaters May 26! The brand new soundtrack for Disney’s “The..."
Total War: WARHAMMER III - Forge of the Chaos Dwarfs,https://www.youtube.com/watch?v=OiHvsinEn58,,Total War,1M,14 hours ago,15/03/2023,The rumours are true! Forge of the Chaos Dwarfs will be arriving in Total War: WARHAMMER III on April 13th! 🔥 Pre-order today and receive 10% discount! 📄 Read more and meet our first...
Lady Gaga - Hold My Hand (Live From The Oscars/2023),https://www.youtube.com/watch?v=qwoyUpxjQ9c,,Lady Gaga,2.3M,1 day ago,15/03/2023,"Listen to “Hold My Hand” (Music From The Motion Picture ""Top Gun: Maverick”): http://LadyGaga.lnk.to/HoldMyHand Shop “Hold My Hand” official merch: https://shop.ladygaga.com/collections/..."
WORST jumpscare in YEARS [Fears To Fathom: Carson House],https://www.youtube.com/watch?v=fgMqIlgXlyI,,CoryxKenshin,4.2M,2 days ago,15/03/2023,"WELCOME, back to Fears To Fathom! This time we tackle Chapter 3 of the episodic horror: Carson House. Join ► http://bit.ly/1vKSGtU Tiktok ► https://www.tiktok.com/@notcoryxkenshin Twitter..."
