title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
[4K] Xbox Games Showcase + Starfield Direct,https://www.youtube.com/watch?v=qGtYn7DCIYo,https://i.ytimg.com/vi/qGtYn7DCIYo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAVzoANZ12LRWP5ezF6YGJzmeXnDA,Xbox,2.1M,13 hours ago,12/06/2023,"We’ve got a double feature for you! Join us for the Xbox Games Showcase, featuring new games from our incredibly talented internal studios and many creative partners from around the world,..."
"$1 vs $1,000,000,000 Yacht!",https://www.youtube.com/watch?v=48h57PspBec,,MrBeast,56M,1 day ago,12/06/2023,"Buy Feastables anywhere to get a secret MrBeast video: https://bit.ly/_feastables Go watch Pete Davidson's new show ""Bupkis"" now live on Peacock!"" https://youtu.be/2x6h2VJ_m-c Check out..."
Star Wars Outlaws: World Premiere Trailer,https://www.youtube.com/watch?v=XF0kMT39GNY,,Star Wars,1.3M,13 hours ago,12/06/2023,Watch the World Premiere trailer of Star Wars Outlaws. Introducing scoundrel Kay Vess in the first-ever open world Star Wars game. Coming 2024. About Star Wars Outlaws: Experience the first-ever...
Man City vs. Inter: Extended Highlights | UCL Final | CBS Sports Golazo,https://www.youtube.com/watch?v=CDL_487D5Ms,,CBS Sports Golazo,1.1M,1 day ago,12/06/2023,Erling Haaland and Man City hope to win their first ever UCL as they go head-to-head with Romelu Lukaku and Inter for Europe’s most prestigious prize. Stream every UEFA Champions League...
Cyberpunk 2077: Phantom Liberty — Official Trailer,https://www.youtube.com/watch?v=reABCMNGM3w,,Cyberpunk 2077,1M,12 hours ago,12/06/2023,"Freedom always comes at a price… Cyberpunk 2077: Phantom Liberty arrives on September 26th on Xbox Series X|S, PlayStation 5, and PC. Pre-order now: https://www.cyberpunk.net/buy #PhantomLiber..."
The Black Hole That Kills Galaxies,https://www.youtube.com/watch?v=V4Z8EdiJxgk,,Kurzgesagt – In a Nutshell,1.8M,17 hours ago,12/06/2023,Go ‘beyond the nutshell’ at https://brilliant.org/nutshell/ and dive deeper into these topics and more with a free 30-day trial! This video was sponsored by Brilliant. Thanks a lot for...
We Powered a Remote Island,https://www.youtube.com/watch?v=xi8A6qQbZ18,,Beast Philanthropy,1.4M,14 hours ago,12/06/2023,"Lectric eBikes sponsored yet another video, enabling us once again to make the world a better place. This incredible company is committed to giving back in a big way. Go support them, so they..."
My Thoughts on Bluey,https://www.youtube.com/watch?v=nEQHiJVH79o,,TheOdd1sOut,3.1M,1 day ago,12/06/2023,Why are adults (me) watching a preschool show about a family of cartoon dogs? To get a better understanding I watched every Bluey episode and then made a video about it. Oddballs Graphic Novel...
Amanda Nunes Octagon Interview | UFC 289 - RETIREMENT FIGHT,https://www.youtube.com/watch?v=oNviJVP1CO4,,UFC - Ultimate Fighting Championship,1.2M,1 day ago,12/06/2023,"Amanda Nunes announced her retirement at UFC 289 following a dominant 5-round performance against Irene Aldana. The GOAT finished as a two-time women’s bantamweight champion, women’s featherwei..."
Fable - Xbox Games Showcase,https://www.youtube.com/watch?v=PEQRwpMYPaw,,Xbox,425K,13 hours ago,12/06/2023,"What does it mean to be a Hero? Well, in the fairytale land of Albion, that is entirely up to you. With a dark threat looming, and in a world where your reputation precedes you, your choices..."
