title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
Real Madrid DOMINANT in El Clasico win over Barcelona 💪 💯 🔥 | LaLiga Highlights | ESPN FC,https://www.youtube.com/watch?v=cp1DwDIQG_Y,https://i.ytimg.com/vi/cp1DwDIQG_Y/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCx-PHLSWoxJJrIGBm9AlEi5gsp3A,ESPN FC,707K,14 hours ago,17/10/2022,Karim Benzema and Federico Valverde opened the scoring in the first half for Real Madrid en route to a 3-1 win over Barcelona in the first El Clasico edition of the season at the Santiago Bernabeu....
SEASON 3 PREMIERE FULL EPISODE | Thanks to Them | S3 E1 | The Owl House | Disney Channel Animation,https://www.youtube.com/watch?v=dRfTRN1F5Ys,https://i.ytimg.com/vi/dRfTRN1F5Ys/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDejLxzhiRpYWZhScN7MnqjjBeFlg,Disney Channel,1.1M,1 day ago,17/10/2022,"Watch the full episode of The Owl House Season 3 Episode 1, ""Thanks to Them""! After months of trying, Luz and her friends make a daring attempt to return to the Demon Realm. Watch the next..."
LE SSERAFIM (르세라핌) 'ANTIFRAGILE' OFFICIAL M/V,https://www.youtube.com/watch?v=pyf8cbqyfPs,https://i.ytimg.com/vi/pyf8cbqyfPs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCY_ahXwGYUjvt8XPw9KRhy_KUbFw,HYBE LABELS,5.5M,16 hours ago,17/10/2022,"Creative Director : NU KIM Visual Creative : Yujoo Kim, Gabriel Cho, Yoon Cho, Sungwoong Moon A&R : Kyuyoung Kim, Sewon Kim, Yujeong Kim Performance Directing : Soyeon Park Assistant Directing..."
No. 6 Tennessee STUNS No. 3 Alabama in INSTANT CLASSIC: Extended Highlights | CBS Sports HQ,https://www.youtube.com/watch?v=xkHbs4NDX3M,,CBS Sports HQ,513K,1 day ago,17/10/2022,Extended highlights from the SEC on CBS Game Of The Week - No. 3 Alabama vs No. 6 Tennessee. SUBSCRIBE TO OUR CHANNEL: https://www.youtube.com/user/CBSSportsHQ WATCH CBS Sports HQ: https://www.cb...
The story of Mumbo Jumbo,https://www.youtube.com/watch?v=qwHxlQ46WDw,,Mumbo Jumbo,1.2M,16 hours ago,17/10/2022,"What Happened to Mumbo Jumbo? In this Mumbo Jumbo Minecraft video, I take you through the Story of the Mumbo Jumbo YouTube channel. How I started YouTube, my early Minecraft redstone tutorials..."
Deontay Wilder vs. Robert Helenius | Preview Highlight | PBC on FOX,https://www.youtube.com/watch?v=ofBB6HdUtLo,,PBC ON FOX,1.3M,1 day ago,17/10/2022,"Former WBC Heavyweight World Champion Deontay “The Bronze Bomber’' Wilder went head-to-head with Robert “The Nordic Nightmare” Helenius at the Barclays Center in Brooklyn, New York..."
Jan 6th Final Hearing Cold Open - SNL,https://www.youtube.com/watch?v=XG2KrOpbjTU,,Saturday Night Live,1.2M,1 day ago,17/10/2022,"The January 6th committee (Kenan Thompson, Mikey Day, Heidi Gardner, Andrew Dismukes, Michael Longfellow) gives their closing statements for the investigation of the attack on the Capitol...."
I Bought the 10 most VIRAL Tiktok Products,https://www.youtube.com/watch?v=_sg9D-j9pgg,,HopeScope,537K,16 hours ago,17/10/2022,Tiktok made me buy it all... and I regret nothing lol Get a Hopeful sticker HERE :) https://www.shophopescope.com Watch these videos next!! I Bought the 5 most VIRAL Tiktok Products: https://www.y...
Dodgers vs. Padres NLDS Game 4 Highlights (10/15/22) | MLB Highlights,https://www.youtube.com/watch?v=SxpZnYeLO00,,MLB,1.3M,23 hours ago,17/10/2022,"Dodgers vs. Padres full game highlights from 10/15/22, presented by @Chevrolet Don't forget to subscribe! https://www.youtube.com/mlb Follow us elsewhere too: Twitter: https://twitter.com/MLB..."
100 LEGO tricks you MISSED...,https://www.youtube.com/watch?v=MVLM-Jcu10Y,,TD BRICKS,846K,15 hours ago,17/10/2022,Install Raid for Free ✅ Mobile and PC: https://clik.cc/aqlkI and get a special starter pack 💥 Available only for the next 30 days 💥 Take part in Halloween event at https://trickortreat.plar...
