title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
"Dak Prescott throws OT pick-six, Cowboys blow 17-point lead in loss vs. Jaguars | NFL | UNDISPUTED",https://www.youtube.com/watch?v=Z8mOxhAjyqQ,,Skip and Shannon: UNDISPUTED,502K,13 hours ago,20/12/2022,The Dallas Cowboys came up short against the Jacksonville Jaguars despite being road favorites. The Dallas defense allowed 27 points in the second half (blew a 17-point lead) and Dak Prescott...
Trash: Last Week Tonight with John Oliver (Web Exclusive),https://www.youtube.com/watch?v=HkvQywg_uZA,,LastWeekTonight,1.8M,1 day ago,20/12/2022,John Oliver explores trash and takes care of some unfinished business in the Ohio of Sweden. Connect with Last Week Tonight online... Subscribe to the Last Week Tonight YouTube channel for...
Oppenheimer | Official Trailer,https://www.youtube.com/watch?v=bK6ldnjE3Y0,,Universal Pictures,11M,1 day ago,20/12/2022,"Oppenheimer - Only In Theaters 7 21 23 Written and directed by Christopher Nolan, Oppenheimer is an IMAX®-shot epic thriller that thrusts audiences into the pulse-pounding paradox of the..."
I was wrong (and so was everyone),https://www.youtube.com/watch?v=Wif1EAgEQKI,,Tom Scott,1.6M,14 hours ago,20/12/2022,Did 18th century firefighters really let buildings burn? Sources below. ■ AD: 👨‍💻 NordVPN's best deal is here: https://nordvpn.com/tomscott - with a 30-day money-back guarantee. ...
F1 Grid Does Secret Santa 2022!,https://www.youtube.com/watch?v=H7eFj_fZpho,,FORMULA 1,1.3M,16 hours ago,20/12/2022,"It's F1 Secret Santa time! What did the F1 drivers give each other for Christmas this year? For more F1® videos, visit https://www.Formula1.com Follow F1®: https://www.instagram.com/F1..."
Streaming in 2023 | Feels Like Home | Disney+,https://www.youtube.com/watch?v=5ztN90jb9wM,,Disney Plus,836K,16 hours ago,20/12/2022,"Take it from the God of Mischief himself: We can’t wait for 2023 on #DisneyPlus. 🙌 #DisneyPlusFeelsLikeHome For more updates, subscribe to Disney, Pixar, Marvel, Star Wars, and National..."
NewJeans (뉴진스) 'Ditto' Official MV (side A),https://www.youtube.com/watch?v=pSUydWEqKwE,,HYBE LABELS,4.8M,21 hours ago,20/12/2022,Producer: MIN HEE JIN Music Video Director: Wooseok Shin (DOLPHINERS FILM) ⓒ 2022 ADOR. All Rights Reserved. Connect with NewJeans PHONING https://phoning.onelink.me/KG15/n7452q87 OFFICIAL...
LARGEST COMEBACK IN HISTORY! Indianapolis Colts vs. Minnesota Vikings | 2022 Week 15 Game Highlights,https://www.youtube.com/watch?v=L_hlvNda2E8,,NFL,4.2M,2 days ago,20/12/2022,Check out our other channels: NFL Mundo https://www.youtube.com/mundonfl NFL Brasil https://www.youtube.com/c/NFLBrasilOficial NFL UK https://www.youtube.com/channel/UCVe0dAja_vZCmvfHXjtdRQA...
Mission: Impossible - Dead Reckoning Part One | The Biggest Stunt in Cinema History (Tom Cruise),https://www.youtube.com/watch?v=-lsFs2615gw,,Paramount Pictures,1.5M,16 hours ago,20/12/2022,Watch an extended behind the scenes look at the biggest stunt in cinema history. #MissionImpossible- Dead Reckoning is in theatres July 2023. Connect with #MissionImpossible Instagram:...
The Closing Ceremony DELIVERED! | FIFA World Cup Qatar 2022,https://www.youtube.com/watch?v=lNRB7OCo8Wo,,FIFA,6.7M,1 day ago,20/12/2022,Listen to the official FIFA World Cup soundtrack on all of your favourite streaming platforms: https://www.youtube.com/playlist?list=PLCGIzmTE4d0gEHK31fdcvzIs-odaYBMtq The opening ceremony...
