title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
"KAROL G, Shakira - TQG (Official Video)",https://www.youtube.com/watch?v=jZGpkLElSu8,https://i.ytimg.com/vi/jZGpkLElSu8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCqj6dTwtna9UXGpj5vczbFAYP9ng,KAROL G,67M,2 days ago,26/02/2023,"KAROL G, Shakira - TQG (Official Video) Escucha / Stream “MSB” en tu plataforma favorita: https://karolg.lnk.to/MSB!YTD Suscríbete a mi canal: https://smarturl.it/SubscribeKarolG Shop..."
Trying To Find The Worst iPhone Game 3,https://www.youtube.com/watch?v=m8LBvGX2hCQ,https://i.ytimg.com/vi/m8LBvGX2hCQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBeZe4jyLKf0KEQWtRWWJ06G6K-_Q,Danny Gonzalez,1.2M,1 day ago,26/02/2023,Thanks to Factor for sponsoring this video! Use code DANNY50 to get 50% off your first Factor box at https://bit.ly/3l6CmVR edited by Jake Mayer https://www.instagram.com/jakeshotfriend/ ...
"Drake, 21 Savage - Spin Bout U (Official Music Video)",https://www.youtube.com/watch?v=T8nbNQpRwNo,,Drake,2M,1 day ago,26/02/2023,director - dave meyers ep/producer - nathan scherrer prod company - freenjoy director rep - lark creative cinematographer - scott cunningham production designer - kai boydel service producer...
Hear Chinese warning to US plane in midair over South China sea,https://www.youtube.com/watch?v=J8uKCCs44oY,,CNN,2.2M,1 day ago,26/02/2023,CNN's Ivan Watson takes a ride on a US Navy jet over the South China Sea and witnesses tensions at play between the US and China during a close encounter with a Chinese fighter jet. #CNN #News
Lil Wayne - Kant Nobody (Official Music Video) ft. DMX,https://www.youtube.com/watch?v=wObTive0mBM,,Lil Wayne,1M,1 day ago,26/02/2023,"Music video by Lil Wayne performing Kant Nobody. © 2023 Young Money Records, Inc., distributed by Republic Records, a division of UMG Recordings, Inc. http://vevo.ly/2HGRko"
Jake Paul vs Tommy Fury - MVP FACE 2 FACE,https://www.youtube.com/watch?v=mx_b7AFLwrY,,Jake Paul,1.3M,1 day ago,26/02/2023,"#PAULFURY Live on Sunday, Feb 26th in Riyadh, Saudi Arabia 🇺🇸 ESPN+ PPV as well as Cable & Satellite 🇨🇦 FITE.tv , DAZN as well as Cable & Satellite 🇬🇧 BT Sport Box Office..."
The Weeknd & Ariana Grande - Die For You (Remix) (Official Lyric Video),https://www.youtube.com/watch?v=YQ-qToZUybM,,The Weeknd,8M,2 days ago,26/02/2023,"The official lyric video for the ""Die For You (Remix)"" by The Weeknd & Ariana Grande. Listen & download here: https://http://theweeknd.co/DieForYouRmx ►Tour dates here: http://theweeknd.com/to..."
Morgan Wallen - Last Night (One Record At A Time Sessions),https://www.youtube.com/watch?v=bUjPPBxbQrQ,,Morgan Wallen,700K,1 day ago,26/02/2023,"Morgan Wallen performing ""Last Night"" from the new album ""One Thing At a Time"". Pre-order and pre-save the new album “One Thing At A Time” now: https://MorganWallen.lnk.to/onethingatatime..."
I Fooled My Friend with ILLUSIONS in Minecraft,https://www.youtube.com/watch?v=gd2lBMjV9to,,Eystreem,891K,1 day ago,26/02/2023,Pranking My Friend Ethan by Confusing Him with INSANE OPTICAL Realities Mod! Will He Ever ESCAPE?! Play Minecraft with ME and be IN VIDEOS! 😝 Just click the 'JOIN' button here ▶ https://ww...
I Survived 100 DAYS as the DOORS in HARDCORE Minecraft!,https://www.youtube.com/watch?v=seEOOSZTymE,,MaxCraft,912K,1 day ago,26/02/2023,"For the next 100 DAYS, I'm going to be surviving as the DOORS in MINECRAFT! Based on the popular Roblox Doors Game, I'll explore every nook and cranny of the Hotel, but will I get stopped before..."
