title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
The Super Mario Bros. Movie Direct,https://www.youtube.com/watch?v=nMPCXuvL8EM,https://i.ytimg.com/vi/nMPCXuvL8EM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJwnhMAjzqUPfu1pKo8OYs2GE6nQ,Nintendo of America,5.1M,Streamed 1 day ago,08/10/2022,Watch this Nintendo Direct: The Super Mario Bros. Movie presentation introducing the world premiere trailer for the upcoming film (no game information will be featured). Subscribe for more...
"Stray Kids ""CASE 143"" M/V",https://www.youtube.com/watch?v=jYSlpC6Ud2A,https://i.ytimg.com/vi/jYSlpC6Ud2A/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsNR22ndTVV3XBzT_8y61D2JQSCw,JYP Entertainment,12M,1 day ago,08/10/2022,"Stray Kids(스트레이 키즈) ""CASE 143"" M/V 💗Listen to ＜MAXIDENT＞ now! ⚡http://Stray-Kids.lnk.to/MAXIDENT Stray Kids ""MAXIDENT"" iTunes & Apple Music: https://stray-kids.lnk.to/MAXID..."
"ok, let's talk about it. - The TryPod Ep. 181",https://www.youtube.com/watch?v=Ut68FBnWbAI,https://i.ytimg.com/vi/Ut68FBnWbAI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAv-grHDyZPtCaoXiIMU_xdtHcr_A,TryPods,2.8M,1 day ago,08/10/2022,This episode is sponsored by BetterHelp. Take charge of your mental health with 10% off your first month of online therapy at https://betterhelp.com/trypod Support local restaurants from the...
Yahritza Y Su Esencia & Ivan Cornejo - Inseparables (Official Video),https://www.youtube.com/watch?v=O-mtWoF8umw,,Yahritza Y Su Esencia,649K,1 day ago,08/10/2022,Official video for “Inseparables” by Yahritza Y Su Esencia & Ivan Cornejo Listen & Download “Inseparables” out now: https://yahritza.lnk.to/Inseparables Amazon Music - https://yahritza.lnk...
Hurricane Ian Destroyed My Hometown!,https://www.youtube.com/watch?v=BHFcF0zcCgA,,Danny Duncan,2.1M,1 day ago,08/10/2022,"On September 28, Hurricane Ian hit Englewood, Florida, causing heavy flooding, ripping roofs off residents' houses and leveling buildings, forcing thousands to evacuate. Merchandise ▶ http://dan..."
Jump into a Paldean Journey | Pokémon Scarlet and Pokémon Violet,https://www.youtube.com/watch?v=4YEEDqke-D0,,The Official Pokémon YouTube channel,1.8M,1 day ago,08/10/2022,Every big journey begins with a single step! 🌄 Take a peek at some of the adventure you'll find through the open world of Paldea! Where will you go? What will you discover? Find your treasure...
"""If my mama played for the Clippers.."" | The Shop: Season 5 Episode 7 | FULL EPISODE | Uninterrupted",https://www.youtube.com/watch?v=T58KBvfehK8,,UNINTERRUPTED,170K,14 hours ago,08/10/2022,"It's a hoop lovers dream on this episode of The Shop, filmed in front of a live audience at the LeBron James Innovation Center on the campus of Nike’s World Headquarters in Beaverton, Oregon...."
Official Launch Trailer | Call of Duty: Modern Warfare II,https://www.youtube.com/watch?v=OeVapCrI1pY,,Call of Duty,7.1M,1 day ago,08/10/2022,You are the company you keep 💪 Team up with TF141 a week early with Campaign Early Access. Available with #MWII digital pre-order here: https://bit.ly/MWIIPREORDER Follow #CallofDuty...
THEY CAN’T BE STOPPED! Friga vs Slim | 3v3 Creator League,https://www.youtube.com/watch?v=SUiBwEIgfPs,,HoH,304K,Streamed 1 day ago,08/10/2022,Zone 6 vs. 2Hype First Game Of The Night - https://www.youtube.com/watch?v=az7k36fGpdU @D'Vontay Friga @CRSWHT and @Raye Mckinney will play @Whit3 Iverson @Slim @DC Heat Thursday at 9:30pm ET!
Quavo & Takeoff - To The Bone feat. YoungBoy Never Broke Again (Official visualizer),https://www.youtube.com/watch?v=4ywb2pXRYZI,,Quavo Huncho,345K,1 day ago,08/10/2022,Stream: http://www.QualityControl.lnk.to/InfinityLinks Follow Quavo! https://www.instagram.com/quavohuncho https://twitter.com/QuavoStuntin https://www.tiktok.com/@quavohuncho https://www.face...
