title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
Metallica: If Darkness Had a Son (Official Music Video),https://www.youtube.com/watch?v=x_t53a5Ons0,https://i.ytimg.com/vi/x_t53a5Ons0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-Q4ImlnE2FdYAEaMSwANVzrQnFw,Metallica,1.2M,15 hours ago,02/03/2023,"Metallica's official music video for “If Darkness Had a Son,” from the album “72 Seasons” available April 14th, 2023. Listen to “If Darkness Had a Son”: https://metallica.lnk.to/IfDark..."
"I Spent 10,000,000 Robux",https://www.youtube.com/watch?v=6GFwqT5bNNA,,LazarBeam,1.4M,1 day ago,02/03/2023,We love Roblox! Special thanks to all the developers that helped with this video ESPECIALLY HAZEM! PLS DONATE - https://www.roblox.com/games/8737602449/PLS-DONATE FOLLOW THESE OR ELSE 🎥SECOND...
Color Fest Season is Here! Clash of Clans Official,https://www.youtube.com/watch?v=zDzz8Tv0pN8,,Clash of Clans,2.5M,22 hours ago,02/03/2023,Prepare for an overload of color - Color Fest Season is here! And for the first time ever - unlock the Painter Scenery with March Gold Pass! Follow us on our Socials! Twitter ► https://twitte...
Jake Paul Holds Back Tears On Show After Loss - BS Post-Fight Special,https://www.youtube.com/watch?v=412--23qbb4,,BS w/ Jake Paul,410K,14 hours ago,02/03/2023,"Tune into the post-fight special as Jake Paul recaps the #paulfury fight, gets deep and emotional, Logan Paul shares his thoughts, and shares what's next for Jake Paul... 0:00 - INTRO 1:15..."
I Got Exclusive Access to NBA All-Star Weekend!,https://www.youtube.com/watch?v=0nLoRgi1f78,,Jesser,948K,1 day ago,02/03/2023,Check out exclusive content on the NBA app! https://app.link.nba.com/JesserAS23 @NBA #NBAAllStar I was lucky enough to be invited to the NBA All Star week and see exclusive behind the scenes...
NoCap - 40 Some Flow's (Official Video),https://www.youtube.com/watch?v=eTMItoVkFZY,,NoCap,162K,12 hours ago,02/03/2023,NoCap - Free Ghetto Stream/Download Mr. Crawford - https://nocap.lnk.to/mrcrawford Subscribe for more official content from NoCap: https://nocap.lnk.to/YouTubeAY Follow NoCap: http://instagram....
Peter Pan & Wendy | Official Trailer | Disney+,https://www.youtube.com/watch?v=9Ji5U2sTlLU,,Walt Disney Studios,1.5M,1 day ago,02/03/2023,"This year, return to Neverland. ✨ Watch the trailer for #PeterPanAndWendy and stream the movie event April 28 only on @DisneyPlus. “Peter Pan & Wendy,” a live-action reimagining of..."
Food Theory: Costco DOESN’T Save You Money!,https://www.youtube.com/watch?v=96K9MBvGDeA,,The Food Theorists,1.2M,1 day ago,02/03/2023,"*SUBSCRIBE to Style Theory!* Be one of the first to subscribe to our NEW channel! ► https://bit.ly/styletheorysub Inflation is getting out of hand! With rising gas prices, egg shortages,..."
ADHD but medicated,https://www.youtube.com/watch?v=oavSiNIUJO0,,Ice Cream Sandwich,937K,1 day ago,02/03/2023,"Use my link https://nordvpn.com/icecreamsandwich to get an exclusive NordVPN deal. To commemorate NordVPNs 11th birthday, for a limited time only - you will receive an additional mystery gift..."
Why Russia's Biggest Threat is Actually China,https://www.youtube.com/watch?v=Iibs7buNwxQ,,RealLifeLore,1.2M,1 day ago,02/03/2023,Get Nebula using my link for 40% off an annual subscription: https://go.nebula.tv/reallifelore Watch my exclusive video on the Ukrainian counter-offensives against Russia here: https://nebula.tv/vi...
