title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
"THE GAME AWARDS 2022: Official 4K Livestream: Star Wars, FINAL FANTASY XVI, Hades II, Halsey",https://www.youtube.com/watch?v=vl9yakt_5tc,https://i.ytimg.com/vi/vl9yakt_5tc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBffwb9QayU-FfhXhZxIp8mnymckA,thegameawards,4.4M,Streamed 1 day ago,10/12/2022,"Celebrate the best video games of the year and see what's next at THE GAME AWARDS. Hosted by Geoff Keighley, live from the Microsoft Theater in Los Angeles. Featuring performances by The Game..."
Would You Rather: IRL,https://www.youtube.com/watch?v=n5Op1CIdg4Y,,Airrack,2.7M,1 day ago,10/12/2022,Pizzafy is out now! 1 of you will win FREE PIZZA FOR LIFE: https://pizzafy.com Follow me on Instagram! INSTAGRAM ▶️ https://urlgeni.us/instagram/jBHg FOLLOW MY FRIENDS: Mack: https://www.inst...
Las Vegas Raiders vs. Los Angeles Rams | 2022 Week 14 Game Highlights,https://www.youtube.com/watch?v=j3G_H-GH6sg,,NFL,2.8M,1 day ago,10/12/2022,Check out our other channels: NFL Mundo https://www.youtube.com/mundonfl NFL Brasil https://www.youtube.com/c/NFLBrasilOficial NFL UK https://www.youtube.com/channel/UCVe0dAja_vZCmvfHXjtdRQA...
"Anuel AA , Jowell & Randy, De La Ghetto, Yailin La Más Viral - La Máquina (Video Oficial) LLNM2",https://www.youtube.com/watch?v=WLU9YCIXCtM,,Anuel AA,2.2M,1 day ago,10/12/2022,"Anuel AA , Jowell & Randy, De La Ghetto, Yailin La Más Viral - La Máquina (Video Oficial) LLNM2 Suscríbete a mi canal ➡️ https://radi.al/AnuelAA 🎵 Stream/Download: https://orcd.co/l..."
SZA - Nobody Gets Me (Official Video),https://www.youtube.com/watch?v=NNd_ufPG3x4,,SZA,529K,13 hours ago,10/12/2022,"SZA’s New Album “SOS” // Available Everywhere Now! Listen Here // https://sza.lnk.to/SOS Director: Bradley J. Calder EP: Aiden Magarian, Collin Druz Producer: Ava Doorley Production..."
Star Wars Jedi: Survivor - Official Reveal Trailer,https://www.youtube.com/watch?v=VRaobDJjiec,,EA Star Wars,3.1M,1 day ago,10/12/2022,"“As long as we fight, hope survives.” Experience the next chapter of Cal Kestis’ journey in STAR WARS Jedi: Survivor™ - launching on March 17, 2023. Pre-order now to outfit Cal..."
here...,https://www.youtube.com/watch?v=-plcKTTkhaI,,Markiplier,2.2M,1 day ago,10/12/2022,Markiplier's Official Only Fans ► https://onlyfans.com/markiplier
Polo G - My All (Directed by Cole Bennett),https://www.youtube.com/watch?v=UMXdkwM9AQ0,,Lyrical Lemonade,703K,1 day ago,10/12/2022,Lyrical Lemonade Presents Polo G - My All (Official Music Video) Stream My All: Directed by Cole Bennett Song Produced by Southside VFX & Color: Scissor Films Paper VFX: Dylan Goood Intro...
Hades II - Reveal Trailer,https://www.youtube.com/watch?v=l-iHDj3EwdI,,Supergiant Games,1.7M,1 day ago,10/12/2022,"Meet the Princess of the Underworld in HADES II, the bewitching sequel to our award-winning rogue-like dungeon crawler. Details about Early Access coming in 2023. Wishlist on Steam: https://superg..."
$230 Turbo vs $2300 Turbo,https://www.youtube.com/watch?v=DpSq8FgCBFc,,Donut Media,1M,17 hours ago,10/12/2022,"Thanks to ebay motors for sponsoring today’s video! Get parts you can trust by visiting https://ebaymotors.com Donut = We like cars, and we like making videos about cars. Hopefully our..."
