title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
Dune: Part Two | Official Trailer,https://www.youtube.com/watch?v=Way9Dexny3w,https://i.ytimg.com/vi/Way9Dexny3w/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAW3kDYant91KC-IhjJfiwYvXqpaA,Warner Bros. Pictures,7.1M,14 hours ago,04/05/2023,Long Live the Fighters. #DunePartTwo only in theaters November 3. ----------------- https://www.instagram.com/dunemovie/ https://www.facebook.com/dune https://twitter.com/dunemovie https://www.ti...
Harry Styles - Satellite (Official Video),https://www.youtube.com/watch?v=bGZplqeIb3w,,Harry Styles,3.4M,14 hours ago,04/05/2023,"Official Video for ""Satellite"" by Harry Styles. Harry's album ""Harry's House"" out now. Listen here: https://hstyles.lnk.to/HarrysHouse Amazon Music: https://hstyles.lnk.to/HarrysHouse/AmazonMusi..."
"#7 LAKERS at #6 WARRIORS | FULL GAME 1 HIGHLIGHTS | May 2, 2023",https://www.youtube.com/watch?v=p6o3YK0azCQ,,NBA,4.2M,1 day ago,04/05/2023,"Never miss a moment with the latest news, trending stories and highlights to bring you closer to your favorite players and teams. Download now: https://app.link.nba.com/APP22 Led by Anthony..."
tWitch's widow opens up on how she explains his loss to their kids,https://www.youtube.com/watch?v=05ROdekk6-U,,TODAY,500K,17 hours ago,04/05/2023,"In a TODAY exclusive, Allison Holker sits down with Hoda Kotb and opens up about the months since her husband, Stephen ‘tWitch’ Boss, took his own life a few weeks before Christmas. “No..."
Redfall is an absolute catastrophe of a videogame (Review),https://www.youtube.com/watch?v=YTpFvYbDuqA,,Skill Up,669K,16 hours ago,04/05/2023,"Upgrade your mouse, keyboard, speakers, headset and more with Steelseries' industry leading and award-winning kit. I use it myself and I cannot recommend it more highly. To get 12% of any purchase,..."
It's Always Sunny in Philadelphia | Season 16 Official Trailer | FX,https://www.youtube.com/watch?v=4a7SAcLSuy0,,FX Networks,555K,13 hours ago,04/05/2023,"Proof that rock bottom isn't always as low as you can go. FX’s Always Sunny, returns June 7 on FXX. Stream on Hulu. Subscribe now for more It’s Always Sunny in Philadelphia clips: http://bit...."
Kim Petras & Nicki Minaj - Alone (Official Music Video),https://www.youtube.com/watch?v=c_5AbgHmFqk,,Kim Petras,1.2M,1 day ago,04/05/2023,"Listen & download ""Alone (with Nicki Minaj)"" here: https://kimpetras.lnk.to/aloneYD ►Follow Kim Petras: http://kimpetras.com http://instagram.com/kimpetras http://twitter.com/kimpetras..."
Hermitcraft 9 Ep 37: I DID A BAD THING...,https://www.youtube.com/watch?v=EqewbwaUfQU,,GoodTimesWithScar,219K,14 hours ago,04/05/2023,Hermitcraft season 9 episode 37! This is not the episode I had planned for Hermitcraft today. I got distracted by Grian not finding the backside of the base and ended up in Docm77s base and...
Tego Calderón - La Receta (Official Video),https://www.youtube.com/watch?v=LGRxyz2W2Og,,Tego Calderón,563K,13 hours ago,04/05/2023,‘La Receta’ Out Now: https://tegocalderon.lnk.to/LaReceta!YTD Subscribe to my YouTube channel here: https://www.youtube.com/@tegocalderon/featured Connect with me on social media:...
"FlightReacts To #7 LAKERS at #6 WARRIORS | FULL GAME 1 HIGHLIGHTS | May 2, 2023!",https://www.youtube.com/watch?v=RmHPEgboM1c,,NotYourAverageFlight,495K,23 hours ago,04/05/2023,Checkout NEW Song https://www.youtube.com/watch?v=xEuvmNAJjqg LETS GET 5 Million TOGETHER! Be sure to sub Checkout my stream https://www.twitch.tv/flight23white SUBSCRIBE to other channel...
