title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
"Fujii Kaze - ""Shinunoga E-Wa"" Live at Nippon Budokan (2020)",https://www.youtube.com/watch?v=lRVJuPI5IXI,https://i.ytimg.com/vi/lRVJuPI5IXI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDNvNK4gpjIcOVBXtSabh5kmSuTUw,Fujii Kaze,10M,1 month ago,21/10/2022,"Fujii Kaze - ""Shinunoga E-Wa"" Live at Nippon Budokan (2020) Directed by Yamada Kento 💿 1st Album『HELP EVER HURT NEVER』 https://fujii-kaze.lnk.to/HEHN 💿 2nd Album『LOVE ALL SERVE..."
Chris Brown - Under The Influence (Official Video),https://www.youtube.com/watch?v=pfxyk1glEq4,https://i.ytimg.com/vi/pfxyk1glEq4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDHZoNv1JDB_i0ej81jtUZoqg8RQw,Chris Brown,1.5M,14 hours ago,21/10/2022,"Chris Brown - ""Under The Influence"" Out Now! Listen Now: https://chrisbrown.lnk.to/UnderTheInfluence 'BREEZY' - Out Now! Listen Now: https://chrisbrown.lnk.to/BREEZY Listen to more by Chris:..."
Apex Legends: Eclipse Launch Trailer,https://www.youtube.com/watch?v=Ha_VsTDmoGg,https://i.ytimg.com/vi/Ha_VsTDmoGg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAeTd_EO4leIFvqTJ6ZQG-FWk0zag,Apex Legends,1.1M,15 hours ago,21/10/2022,"Tressa has fought for Cleo since she was a teenager. Seer may have brought the Legends to her home, but Catalyst is ready to keep up. http://x.ea.com/74746 Apex Legends is a free-to-play..."
Finesse2Tymes - Humble [Official Music Video],https://www.youtube.com/watch?v=rlhglsvkVu0,,Finesse2tymes,453K,21 hours ago,21/10/2022,Finesse2Tymes - Humble Stream/download: https://Finesse2Tymes.lnk.to/humble FOLLOW FINESSE2TYMES Instagram: https://Finesse2Tymes.lnk.to/Instagram TikTok: https://Finesse2Tymes.lnk.to/TikTok...
All Quiet on the Western Front | Official Trailer | Netflix,https://www.youtube.com/watch?v=hf8EYbVxtCY,,Netflix,2.6M,17 hours ago,21/10/2022,All Quiet on the Western Front tells the gripping story of a young German soldier on the Western Front of World War I. Paul and his comrades experience first-hand how the initial euphoria of...
More than 30 drivers got flat tires along 405 Freeway during morning commute,https://www.youtube.com/watch?v=wkrko5qEaCI,,ABC7,1.8M,1 day ago,21/10/2022,More than 30 drivers got stuck along the 405 Freeway near Mulholland Drive around the same time due to the same issue: flat tires. READ MORE: https://abc7.la/3VBxOER
how I accidentally won a Mario Strikers Tournament,https://www.youtube.com/watch?v=ukNyR5P1eY0,,SmallAnt,689K,1 day ago,21/10/2022,I entered @Grand POOBear 's Mario Strikers: Battle League tournament. I had never played Mario Strikers. I won. oops. You should watch me live on Twitch: https://twitch.tv/Smallant ▶Discord:...
Spot the short king,https://www.youtube.com/watch?v=22hNauPqMOg,,Cody Ko,711K,1 day ago,21/10/2022,"For 65% off with HelloFresh plus FREE shipping, use code CODYKO65 at https://bit.ly/3TWXL0s! listen to my new song: https://open.spotify.com/track/7qqzKjEg2X12hMfTjwJXKv?si=556e17abde2e4e84..."
Silent Hill 2 - Teaser Trailer | PS5 Games,https://www.youtube.com/watch?v=pyC_qiW_4ZY,,PlayStation,2.1M,1 day ago,21/10/2022,"Having received a letter from his deceased wife, James heads to where they shared so many memories, in the hope of seeing her one more time: Silent Hill. There, by the lake, he finds a woman..."
"Lia Block's Audi Ur-Quattro Shakedown, Test Drive and Driver's License Test!",https://www.youtube.com/watch?v=4BVSHz1LJMc,,Ken Block,435K,15 hours ago,21/10/2022,"She can drag race with the best of them (and in the Hoonicorn, no less), but can my daughter Lia pass her driver's test?? And what about her new daily, that awesome 1985 Audi Ur-Quattro --..."
