title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
NewJeans (뉴진스) 'Super Shy' Official MV,https://www.youtube.com/watch?v=ArmDp-zijuc,https://i.ytimg.com/vi/ArmDp-zijuc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBJ4oH9Dr4EMj5EifDD5mnxTD87A,HYBE LABELS,11M,1 day ago,08/07/2023,NewJeans (뉴진스) 'Super Shy' Official MV Producer: MIN HEE JIN Music Video Director: Heewon Shin 0:00 Super Shy 1:44 Join the #ImSuperShy challenge 2:11 NewJeans © 2023 ADOR. All...
"TXT (투모로우바이투게더), Jonas Brothers 'Do It Like That' Official MV",https://www.youtube.com/watch?v=C0EYKxF1oTI,,HYBE LABELS,10M,1 day ago,08/07/2023,"TXT (투모로우바이투게더), Jonas Brothers 'Do It Like That' Official MV Production : STUDIO SACCHARIN Director : Yongsoo Kwon 1st AD : Wonsik You 2st AD : Seoyoung Son Editor : Heegyeong..."
Taylor Swift - Enchanted (Taylor's Version) (Lyric Video),https://www.youtube.com/watch?v=igIfiqqVHtA,,Taylor Swift,2.1M,1 day ago,08/07/2023,"Listen to “Enchanted"" (Taylor’s Version) by Taylor Swift from the album Speak Now (Taylor’s Version). Buy/Download/Stream ‘Speak Now (Taylor's Version)’: https://taylor.lnk.to/speaknowta..."
Penny Series Outro Music Video,https://www.youtube.com/watch?v=g76dHwP5XzY,,prestongoes,305K,15 hours ago,08/07/2023,@ryan should we recreate this irl? hahaha Behind The Scenes Video: https://youtu.be/771_AKNb1-Q Spotify: https://sptfy.com/OgK3 Apple Music: http://itunes.apple.com/album/id/1695840041
Lil Tjay - Project Walls (feat. NBA YoungBoy) (Official Lyric Video),https://www.youtube.com/watch?v=KyiehLjundk,,Lil Tjay,550K,1 day ago,08/07/2023,"Lil Tjay ""Project Walls"" (feat. NBA YoungBoy) Out Now - https://liltjay.lnk.to/ProjectWalls Lil Tjay '222' out July 14. Pre-save here: https://www.liltjaymusic.com/ Official lyric video for..."
73 Questions With Olivia Rodrigo | Vogue,https://www.youtube.com/watch?v=G1FLUuDKRYI,,Vogue,640K,18 hours ago,08/07/2023,"Three-Time Grammy Award-winning singer-songwriter Olivia Rodrigo takes Vogue through her spacious home and answers 73 rapid-fire questions. After offering some tea and delicious banana bread,..."
I Played the NEW 1.20 Update in Minecraft Hardcore,https://www.youtube.com/watch?v=MUYpeX74dGE,,aCookieGod,1M,18 hours ago,08/07/2023,I Survived the NEW 1.20 Update in Hardcore Minecraft LAST CHANCE TO GET A PLUSHIE! https://youtooz.com/products/acookiegod-plush-9-inch my breakup experience: https://youtu.be/gNE9ZBWP5-k...
NewJeans (뉴진스) 'New Jeans' Official MV,https://www.youtube.com/watch?v=kcelgrGY1h8,,HYBE LABELS,7.1M,1 day ago,08/07/2023,NewJeans (뉴진스) 'New Jeans' Official MV Producer: MIN HEE JIN Music Video Director: Youngeum Lee THE POWERPUFF GIRLS and all related characters and elements © & ™ Cartoon Network....
Why China is Shrinking VERY Fast,https://www.youtube.com/watch?v=KiaukPUV6Hg,,RealLifeLore,649K,15 hours ago,08/07/2023,"For 50% off with HelloFresh PLUS free shipping, use code REALLIFELORE50 at https://bit.ly/46lNrFG Watch more than 24 additional exclusive RealLifeLore videos on Nebula in Modern Conflicts:..."
I Made It Back To America!,https://www.youtube.com/watch?v=TFzWgmLvzX4,,Ryan Trahan,3.1M,15 hours ago,08/07/2023,"day 7. 1 penny. we did it. PENNY MERCH - https://www.howdyhowdy.com we raised over $400K for water.org. im so proud of you guys :,) donate here - https://give.water.org/f/penny/"
