title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
Rod Wave - Stone Rolling (Official Video),https://www.youtube.com/watch?v=LTWyzNUPbGQ,https://i.ytimg.com/vi/LTWyzNUPbGQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA15rTG4PHEmrlbmt6q01RBTvq7_g,RodWave,1.4M,1 day ago,28/07/2022,"Pre-Save Rod Wave's New Album ""Beautiful Mind"" https://rodwave.lnk.to/beautifulmind Follow Rod Wave: ► Instagram: https://www.instagram.com/rodwave/ ► Twitter: https://twitter.com/rodwave..."
NBA Youngboy - She Want Chanel,https://www.youtube.com/watch?v=hmiCuS_lAHA,https://i.ytimg.com/vi/hmiCuS_lAHA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3TE3fPkXYyUbe-LPry4ojnJL7Yw,YoungBoy Never Broke Again,1.9M,19 hours ago,28/07/2022,
Resumen y goles | Real Madrid 2-2 América | Amistoso Internacional | TUDN,https://www.youtube.com/watch?v=unMeUDAcMIw,https://i.ytimg.com/vi/unMeUDAcMIw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwr5cMxABVNwmMEw_1k8TpAYweyw,TUDN México,2M,1 day ago,28/07/2022,Las águilas y Real Madrid empatan en un partido lleno de emoción y polémica. Síguenos en nuestras redes sociales: https://www.facebook.com//tudnmex/ https://www.instagram.com/tudnmex/...
