title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
this game is for KIDS!? [Amanda The Adventurer],https://www.youtube.com/watch?v=tiOrbqx62O4,https://i.ytimg.com/vi/tiOrbqx62O4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDcVBLaZIxLsU30AHgqypxawSMKzg,CoryxKenshin,1.9M,13 hours ago,27/04/2023,"WELCOME, to Amanda The Adventurer! I'm sure this won't be nightmare fuel for any of us! Join ► http://bit.ly/1vKSGtU Tiktok ► https://www.tiktok.com/@notcoryxkenshin Twitter ► https://twitte..."
Apex Legends: Arsenal Launch Trailer,https://www.youtube.com/watch?v=3D4sYCf1VPI,,Apex Legends,1.2M,15 hours ago,27/04/2023,"Before there were Legends, there was Ballistic. He’s back in the fray, here to show the Legends, the crowd, and himself that this old dog’s tricks stand the test of time. http://x.ea.com/7631..."
Machine Gun Kelly X Cordae - Doja Freestyle,https://www.youtube.com/watch?v=dd1OSFYzE9s,,Machine Gun Kelly,575K,14 hours ago,27/04/2023,The Cypher: Machine Gun Kelly x Cordae - Doja Freestyle Follow Machine Gun Kelly : https://tiktok.com/@machinegunkelly http://twitter.com/machinegunkelly http://instagram.com/machinegunkelly...
The Flash - Official Trailer 2,https://www.youtube.com/watch?v=r51cYVZWKdY,,DC,13M,1 day ago,27/04/2023,"Watch worlds collide in trailer 2 for The Flash - Only in Theaters June 16. #TheFlashMovie Warner Bros. Pictures presents “The Flash,” directed by Andy Muschietti (the “IT” films,..."
I Played Zelda: Tears of the Kingdom (Hands-On Preview),https://www.youtube.com/watch?v=2EMZzW7hj0M,,Zeltik,785K,17 hours ago,27/04/2023,"I was invited to a preview session to play Zelda: Tears of the Kingdom. Is it as good as Breath of the Wild, or better? A huge thank you to both Nintendo UK and Nintendo of Europe for inviting..."
"Can You Farm 1,000,000 Cookies in 100 Minecraft Days?",https://www.youtube.com/watch?v=vX3-MLNLASg,,aCookieGod,1M,18 hours ago,27/04/2023,"I Survived 100 Days Farming 1,000,000 Cookies in Minecraft Hardcore Download Honkai Star Rail using my link: https://hoyo.link/1ejbCwAd and make sure to use this code: HSRVER10XEDLFE to get..."
New details in Tucker Carlson's exit from Fox News l GMA,https://www.youtube.com/watch?v=9rFwGmq5nWY,,Good Morning America,665K,15 hours ago,27/04/2023,The host and the network parted ways on Monday nearly a week after a $787.5 million settlement agreement between Fox News and Dominion Voting Systems. SUBSCRIBE: https://bit.ly/2Zq0dU5 ...
my hardest recording session,https://www.youtube.com/watch?v=RrA4kjLXmFo,,CoryxKenshin,2.5M,1 day ago,27/04/2023,"WELCOME, back to Resident Evil 4 Remake! Join ► http://bit.ly/1vKSGtU Tiktok ► https://www.tiktok.com/@notcoryxkenshin Twitter ► https://twitter.com/coryxkenshin Instagram ► http://instagr..."
"Halle - Part of Your World (From ""The Little Mermaid""/Visualizer Video)",https://www.youtube.com/watch?v=cu-RcFv50Sc,,DisneyMusicVEVO,422K,14 hours ago,27/04/2023,“Part of Your World” Performed by Halle Bailey From Disney’s The Little Mermaid Soundtrack available May 19 Film in theaters May 26: https://www.fandango.com/the-little-mermaid-2023-228960/mo...
Funniest Animals On The Internet!,https://www.youtube.com/watch?v=70dS-T5p07U,,Beast Reacts,2.6M,1 day ago,27/04/2023,"We react to the funniest animals on the internet, and every time we laugh, we are going to donate $100 to an animal charity! CHECK OUT THESE CHANNELS OR ELSE ViralHog https://viralhog.com/v?t=qo5..."
