title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
Celebrating Jollof Rice,https://www.youtube.com/watch?v=oxUid0_e5Sk,https://i.ytimg.com/vi/oxUid0_e5Sk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBRtWgrQO9y_VRX1YlRxuyFerBjOQ,GoogleDoodles,10M,1 day ago,06/11/2022,"Today’s Doodle celebrates jollof rice, a quintessential West African dish simmered in reduced tomatoes, onions, peppers and regional spices. On this day each year, rice farmers plant and..."
Dude Perfect Goes to SPACE,https://www.youtube.com/watch?v=YXXlSG-du7c,https://i.ytimg.com/vi/YXXlSG-du7c/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBq23wKPriY2h4rAYgPU-_IbJCglg,Dude Perfect,4.3M,16 hours ago,06/11/2022,Yes... Coby actually goes to SPACE!! Huge thanks to MoonDAO for sponsoring this video! MoonDAO's mission is to decentralize access to space research and exploration. Learn more here: https://moond...
"LEGO, but EVERYTHING is TINY...",https://www.youtube.com/watch?v=6gZwKexA3_Q,https://i.ytimg.com/vi/6gZwKexA3_Q/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCI6cdumHB80NggtB7XPw4Vgpbtew,TD BRICKS,912K,14 hours ago,06/11/2022,I take Lego and make it 100x smaller... Podcast for 1 million subs: https://youtu.be/pYF1AyTg2q4 Instagram: https://www.instagram.com/td_the_creator/ TikTok: tiktok.com/@td_the_creator ...
Ramattra Origin Story | Overwatch 2,https://www.youtube.com/watch?v=vd_SPOkaZZ4,,PlayOverwatch,1.8M,1 day ago,06/11/2022,"Introducing Ramattra. The leader of Null Sector is on a mission to create a better world for Omnics… no matter what it takes. Coming to #Overwatch2 Season 2, Dec 6. Learn more about Ramattra:..."
"Can you farm 1,000,000 Melons in 100 Minecraft Days?",https://www.youtube.com/watch?v=GsECAFO_fxk,,rekrap2,538K,17 hours ago,06/11/2022,"Trying to get 1,000,000 Melons. This video was a HUGE inspiration from this video: https://www.youtube.com/watch?v=gofBG8nDfpM Where I get my music: -Epidemic Sound- https://www.epidemicsound...."
IShowSpeed - World Cup (Official Music Video),https://www.youtube.com/watch?v=8n5dJwWXrbo,,IShowSpeed,5.7M,1 day ago,06/11/2022,stream world cup - https://ishowspeed.lnk.to/WorldCup merch - https://www.ishowspeedstore.com/ Director @shotbyslipz  Producer @shirifauer Production Co. @hiddenpicturesllc DP @shotbyslipz...
Hanging Out With Lil Uzi Vert!,https://www.youtube.com/watch?v=_hcYPZKP0Vg,,Kai Cenat,1.8M,1 day ago,06/11/2022,Make Sure You keep Up With All Of My social Medias: Instagram: https://www.instagram.com/kaicenat/ Twitter: https://twitter.com/KaiCenat Twitch: https://www.twitch.tv/kaicenat Discord Server:...
"I Survived 5,000 Days in HARDCORE Minecraft…",https://www.youtube.com/watch?v=CEB5vLhKsTo,,SB737,611K,16 hours ago,06/11/2022,"SIGNED 5000 Days Poster Here: https://sb737.store/products/signed-limited-edition-5000-days-poster 4,900 DAYS HARDCORE VIDEO: https://youtu.be/KLTdqFhNQUQ ----------------------------------------..."
Cardi B Honors Takeoff With Touching Tribute,https://www.youtube.com/watch?v=MrADAzLaSxw,,Entertainment Tonight,1.5M,1 day ago,06/11/2022,"Cardi B is remembering Takeoff. On Twitter, she shared a touching video in tribute to the late rapper. Cardi, whose husband, Offset, was Takeoff's cousin and fellow Migos member, retweeted..."
"Tom MacDonald - ""Fighter""",https://www.youtube.com/watch?v=gXEJefeiifc,,Tom MacDonald,1.3M,1 day ago,06/11/2022,DOWNLOAD on iTunes: https://geo.itunes.apple.com/us/album/fighter-single/1652321170?ls=1&app=itunes DOWNLOAD on Amazon: https://www.amazon.com/music/player/albums/B0BL7M4BRP?marketplaceId=ATVPDKIKX...
