title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
"I bought a $400,000 Ferrari just to destroy it",https://www.youtube.com/watch?v=7d2moH6jWh8,https://i.ytimg.com/vi/7d2moH6jWh8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLPF-XiIKmOS9DWlbZEREGVEjpCg,WhistlinDiesel,1.9M,1 day ago,21/02/2023,"Ferrari is notorious for suing their customers, and also for fast red sports cars. Either way, I now own one!! What do I plan on doing with it? Lets find out :)"
Iam Tongi Makes The Judges Cry With His Emotional Story And Song - American Idol 2023,https://www.youtube.com/watch?v=S_MAesZsnMk,,American Idol,916K,1 day ago,21/02/2023,"This one’s a tearjerker! Iam lost his dad, Rodney, just a few months ago and says he can still hear him harmonizing with him on every song he sings. Rodney taught Iam music from a very young..."
Psychedelic Assisted Therapy: Last Week Tonight with John Oliver (HBO),https://www.youtube.com/watch?v=a546lxxJIhE,,LastWeekTonight,1.3M,23 hours ago,21/02/2023,"John Oliver discusses psychedelic assisted therapy: its history, its potential, and what it has to do with A$AP Rocky’s relationship to rainbows. Connect with Last Week Tonight online......"
PSG vs Lille | LIGUE 1 HIGHLIGHTS | 02/19/2023 | beIN SPORTS USA,https://www.youtube.com/watch?v=Zc2khqqm_aI,,beIN SPORTS USA,943K,1 day ago,21/02/2023,"PSG defeated Lille thanks to a masterful goal from Lionel Messi. #ligue1 #psg #lille Catch the latest highlights of Ligue 1🇫🇷, Turkish Süper Lig🇹🇷, Copa Libertadores🏆,..."
The FULL 2023 NBA #ATTSlamDunk Contest! 👀 | 2023 #NBAAllStar,https://www.youtube.com/watch?v=awLQ_A33H9Y,,NBA,7M,2 days ago,21/02/2023,"Mac McClung has won the 2023 AT&T Slam Dunk Contest with a multiple perfect score performance. #StateFarmSaturday Never miss a moment with the latest news, trending stories and highlights..."
Late race drama sends the Daytona 500 into NASCAR Overtime | Extended Highlights,https://www.youtube.com/watch?v=vrsLAjNipyg,,NASCAR,283K,1 day ago,21/02/2023,Don't miss the biggest moments from the 2023 Daytona 500 in this week's Extended Highlights. #nascar #daytona500 ---------- Subscribe to NASCAR on YouTube: https://nas.cr/youtube Visit NASCAR.com...
Hermitcraft 9: Episode 8 - RICHEST HERMIT,https://www.youtube.com/watch?v=A-LpG6siR5E,,Mumbo Jumbo,1.2M,1 day ago,21/02/2023,"In this episode of Hermitcraft Season 9, Mumbo Jumbo finishes up the exterior of the Minecraft starter base, tries to solve the mystery of the Minecraft vault filled with diamonds, and tries..."
I Built an Unethical Zoo Where You Make Your Own Unethical Zoo - Planet Zoo,https://www.youtube.com/watch?v=pPPp9umYZFs,,Let's Game It Out,1.3M,1 day ago,21/02/2023,Download Empires & Puzzles here ► https://pixly.go2cloud.org/SH3ga Thanks to Empires & Puzzles for sponsoring! JOIN MY STREAMS! ► https://www.twitch.tv/letsgameitout Merch! ► http://bit.ly...
"Game Theory: FNAF, The Rise Of Afton (Ultimate Timeline)",https://www.youtube.com/watch?v=oLj9qS9EgB8,,The Game Theorists,3.8M,2 days ago,21/02/2023,"*SUBSCRIBE to Style Theory!* Be one of the first to subscribe to our NEW channel! ► https://bit.ly/styletheorysub Friends, today I’m back with part 2 of our FNAF timeline, what we’re..."
I Survived 100 Days as HADES in Minecraft.. Here's What Happened..,https://www.youtube.com/watch?v=XXIswRPnlkI,,Forrestbono,647K,1 day ago,21/02/2023,I Survived 100 Days as HADES in Minecraft.. Here's What Happened.. Download Honkai Impact 3rd Today ➜ https://bit.ly/40qcJQa Claim 5th Anniversary Gifts Here ➜ https://hoyo.link/dcsCCOAd...
