title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
Bad Bunny - Neverita (Video Oficial) | Un Verano Sin Ti,https://www.youtube.com/watch?v=ARWg160eaX4,https://i.ytimg.com/vi/ARWg160eaX4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBmLTdkx8aNBkYJXtazfGXZzcVShg,Bad Bunny,4.4M,14 hours ago,23/08/2022,Bad Bunny - Neverita Video Oficial | Un Verano Sin Ti Un Verano Sin Ti https://www.unveranosinti.com/ World's Hottest Tour https://worldshottesttour.com/ Suscríbete al canal/Subscribe...
Why the US Army electrifies this water,https://www.youtube.com/watch?v=t3oLeSPINOk,https://i.ytimg.com/vi/t3oLeSPINOk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBi3_kk9eTx849wRfASwxx4Br9S9Q,Tom Scott,3.7M,15 hours ago,23/08/2022,"The Chicago and Sanitary Ship Canal is the path that invasive carp would take to reach the Great Lakes. So to stop them, the US Army Corps of Engineers has installed an electric barrier. Although..."
IVE 아이브 'After LIKE' MV,https://www.youtube.com/watch?v=F0B7HDiY-10,https://i.ytimg.com/vi/F0B7HDiY-10/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBVm4EHqyg8V_RRxPXBeovPtq4_dg,starshipTV,18M,21 hours ago,23/08/2022,IVE Twitter : https://twitter.com/IVEstarship : https://twitter.com/IVE_twt : https://twitter.com/IVEstarship_JP IVE Instagram : https://instagram.com/IVEstarship IVE Facebook: https://fb.me/IVEsta...
I Survived A Plane Crash,https://www.youtube.com/watch?v=jdMNoQE3mIQ,,MrBeast,32M,2 days ago,23/08/2022,Thanks again to the Coast Guard for the lift! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗ ║╚╣║║║╚╣...
Lille vs PSG | LIGUE 1 HIGHLIGHTS | 08/21/2022 | beIN SPORTS USA,https://www.youtube.com/watch?v=U-6NHOAyEQU,,beIN SPORTS USA,704K,1 day ago,23/08/2022,"With a hat-trick from Kylian Mbappé, a brace from Neymar, and a goal from Lionel Messi, PSG thrashed Lille 1-7 and took the lead in Ligue 1. Catch the latest highlights of Ligue 1🇫🇷,..."
Telling My 16 Siblings WE'RE PREGNANT! *emotional*,https://www.youtube.com/watch?v=I5ljfUaM5FA,,JUSTKASS,878K,15 hours ago,23/08/2022,We told my whole family that we are pregnant and they were so so excited and had the cutest reactions ever!! I hope you all love this video!! WATCH MORE: https://www.youtube.com/watch?v=79cRYqRrNJQ...
"24 hours in copenhagen, denmark",https://www.youtube.com/watch?v=Iuet9k9_m8Q,,emma chamberlain,819K,14 hours ago,23/08/2022,"rye, hummus, and sharp cheddar. gotta try it. chamberlain coffee, website: https://www.chamberlaincoffee.com instagram: https://www.instagram.com/chamberlaincoffee twitter: https://twitter.com/ch..."
Obi-Wan Kenobi: A Jedi’s Return | Official Trailer | Disney+,https://www.youtube.com/watch?v=4WaC8k3WVl8,,Star Wars,1.3M,18 hours ago,23/08/2022,"Experience Obi-Wan Kenobi: A Jedi’s Return. This special explores the return of Obi-Wan Kenobi and Anakin Skywalker to the screen, as well as Ewan McGregor and Hayden Christensen to their..."
Slipknot - Yen [OFFICIAL VIDEO],https://www.youtube.com/watch?v=9FnG9lGLyEM,,Slipknot,774K,17 hours ago,23/08/2022,"Slipknot's official video for ""Yen"" off the album 'The End, So Far', available worldwide September 30: https://slipknot1.lnk.to/store Stream ""Yen"" here: https://slipknot1.lnk.to/TheEndSoFar..."
Robert Lewandowski scores TWICE on his BDAY as Barcelona cruise | LaLiga Highlights | ESPN FC,https://www.youtube.com/watch?v=BwV5sqB2L8c,,ESPN FC,419K,1 day ago,23/08/2022,Robert Lewandowski scored two goals while Ousmane Dembele and Ansu Fati each added a goal as Barcelona earned a 4-1 win over Real Sociedad. #ESPNFC #LaLiga #Barcelona ✔ Subscribe to ESPN+:...
